gen,inst,n,pop_size,mutation_rate,best_objective,coverage,time_taken,n_generations,experiment_id
1,1,200,100,0.01,4562.04,1.0,1800,5244,1
1,2,200,100,0.01,4563.82,1.0,1800,4899,1
1,3,50,100,0.01,645.62,1.0,1800,58413,1
1,4,25,100,0.01,261.06,1.0,1800,151366,1
1,5,100,100,0.01,1509.97,1.0,1800,19429,1
2,1,50,100,0.01,575.87,1.0,1800,70706,1
2,2,400,100,0.01,12697.19,1.0,1801,1443,1
2,3,25,100,0.01,210.16,1.0,1800,266601,1
2,4,400,100,0.01,11877.37,1.0,1800,1520,1
2,5,100,100,0.01,1550.49,1.0,1800,21012,1
3,1,400,100,0.01,209479.75,1.0,1802,739,1
3,2,100,100,0.01,14887.43,1.0,1800,9369,1
3,3,200,100,0.01,59765.97,1.0,1800,2575,1
3,4,25,100,0.01,981.05,1.0,1800,124084,1
3,5,25,100,0.01,766.71,1.0,1800,184756,1
1,1,200,300,0.01,4507.9,1.0,1800,1601,2
1,2,200,300,0.01,4648.14,1.0,1800,1732,2
1,3,50,300,0.01,645.62,1.0,1800,19466,2
1,4,25,300,0.01,261.06,1.0,1800,48890,2
1,5,100,300,0.01,1525.48,1.0,1800,6883,2
2,1,50,300,0.01,575.87,1.0,1800,23676,2
2,2,400,300,0.01,12101.34,1.0,1802,501,2
2,3,25,300,0.01,210.16,1.0,1800,89114,2
2,4,400,300,0.01,11103.29,1.0,1802,525,2
2,5,100,300,0.01,1532.54,1.0,1800,7014,2
3,1,400,300,0.01,199056.17,1.0,1802,259,2
3,2,100,300,0.01,14887.43,1.0,1800,3132,2
3,3,200,300,0.01,59263.86,1.0,1801,889,2
3,4,25,300,0.01,981.05,1.0,1800,39945,2
3,5,25,300,0.01,766.71,1.0,1800,58364,2
1,1,200,100,0.02,4369.85,1.0,1800,6568,3
1,2,200,100,0.02,4549.76,1.0,1800,6793,3
1,3,50,100,0.02,645.62,1.0,1800,81515,3
1,4,25,100,0.02,261.06,1.0,1800,214207,3
1,5,100,100,0.02,1525.48,1.0,1800,26379,3
2,1,50,100,0.02,575.87,1.0,1800,87556,3
2,2,400,100,0.02,10416.38,1.0,1800,1729,3
2,3,25,100,0.02,210.16,1.0,1800,268310,3
2,4,400,100,0.02,9761.12,1.0,1801,1547,3
2,5,100,100,0.02,1550.49,1.0,1800,21180,3
3,1,400,100,0.02,168431.38,1.0,1800,736,3
3,2,100,100,0.02,14887.43,1.0,1800,7905,3
3,3,200,100,0.02,56170.9,1.0,1800,2443,3
3,4,25,100,0.02,981.05,1.0,1800,101376,3
3,5,25,100,0.02,766.71,1.0,1800,179757,3
1,1,200,100,0.01,4609.88,1.0,1800,5750,4
1,2,200,100,0.01,4572.7,1.0,1800,6325,4
1,3,50,100,0.01,645.62,1.0,1800,78216,4
1,4,25,100,0.01,261.06,1.0,1800,209507,4
1,5,100,100,0.01,1525.48,1.0,1800,24283,4
2,1,50,100,0.01,575.87,1.0,1800,84690,4
2,2,400,100,0.01,12660.42,1.0,1801,1313,4
2,3,25,100,0.01,210.16,1.0,1800,264491,4
2,4,400,100,0.01,11678.31,1.0,1800,1358,4
2,5,100,100,0.01,1550.49,1.0,1800,19615,4
3,1,400,100,0.01,215717.17,1.0,1800,525,4
3,2,100,100,0.01,14887.43,1.0,1800,6869,4
3,3,200,100,0.01,59765.97,1.0,1800,1897,4
3,4,25,100,0.01,981.05,1.0,1800,97098,4
3,5,25,100,0.01,766.71,1.0,1800,172467,4
1,1,200,100,0.01,4605.76,1.0,1800,10421,5
1,2,200,100,0.01,4532.0,1.0,1800,11416,5
1,3,50,100,0.01,645.62,1.0,1800,158705,5
1,4,25,100,0.01,261.06,1.0,1800,426008,5
1,5,100,100,0.01,1508.25,1.0,1800,46588,5
2,1,50,100,0.01,575.87,1.0,1800,167840,5
2,2,400,100,0.01,10650.38,1.0,1800,3378,5
2,3,25,100,0.01,210.16,1.0,1800,564660,5
2,4,400,100,0.01,9919.15,1.0,1800,3392,5
2,5,100,100,0.01,1550.49,1.0,1800,42826,5
3,1,400,100,0.01,158934.78,1.0,1801,2056,5
3,2,100,100,0.01,14887.43,1.0,1800,16733,5
3,3,200,100,0.01,59765.97,1.0,1800,5224,5
3,4,25,100,0.01,981.05,1.0,1800,228680,5
3,5,25,100,0.01,766.71,1.0,1800,304184,5
