gen,inst,n,pop_size,mutation_rate,best_objective,coverage,time_taken,n_generations,experiment_id
1,1,200,100,0.02,4369.85,1.0,1800,6568,3
1,2,200,100,0.02,4549.76,1.0,1800,6793,3
1,3,50,100,0.02,645.62,1.0,1800,81515,3
1,4,25,100,0.02,261.06,1.0,1800,214207,3
1,5,100,100,0.02,1525.48,1.0,1800,26379,3
2,1,50,100,0.02,575.87,1.0,1800,87556,3
2,2,400,100,0.02,10416.38,1.0,1800,1729,3
2,3,25,100,0.02,210.16,1.0,1800,268310,3
2,4,400,100,0.02,9761.12,1.0,1801,1547,3
2,5,100,100,0.02,1550.49,1.0,1800,21180,3
3,1,400,100,0.02,168431.38,1.0,1800,736,3
3,2,100,100,0.02,14887.43,1.0,1800,7905,3
3,3,200,100,0.02,56170.9,1.0,1800,2443,3
3,4,25,100,0.02,981.05,1.0,1800,101376,3
3,5,25,100,0.02,766.71,1.0,1800,179757,3
